 Local Health Districts, year, Sex, State comparison, Average number per year," Rate per 100,000 population", LL 95% CI, UL 95% CI
 Western Sydney LHD, 2006-2007, Females, Rest of NSW,773,18.4,17.5,19.4
 Western Sydney LHD, 2006-2007, Females, Total NSW,840,18.2,17.3,19.1
 Western Sydney LHD, 2006-2007, Persons, Western Sydney LHD,138,21.6,19.1,24.4
 Western Sydney LHD, 2006-2007, Persons, Rest of NSW,1556.5,22.7,21.9,23.5
 Western Sydney LHD, 2006-2007, Persons, Total NSW,1694.5,22.5,21.8,23.3
 Western Sydney LHD, 2007-2008, Males, Western Sydney LHD,75,24.5,20.6,28.9
 Western Sydney LHD, 2007-2008, Males, Rest of NSW,762.5,24.8,23.6,26.1
 Western Sydney LHD, 2007-2008, Males, Total NSW,837.5,24.9,23.7,26.2
 Western Sydney LHD, 2007-2008, Females, Western Sydney LHD,69.8,18.3,15.4,21.7
 Western Sydney LHD, 2007-2008, Females, Rest of NSW,770.9,17.8,16.9,18.7
 Western Sydney LHD, 2007-2008, Females, Total NSW,840.7,17.6,16.7,18.5
 Western Sydney LHD, 2007-2008, Persons, Western Sydney LHD,144.8,21.8,19.3,24.5
 Western Sydney LHD, 2007-2008, Persons, Rest of NSW,1533.4,21.7,20.9,22.5
 Western Sydney LHD, 2007-2008, Persons, Total NSW,1678.2,21.7,20.9,22.4
 Western Sydney LHD, 2008-2009, Males, Western Sydney LHD,76.7,24,20.2,28.3
 Western Sydney LHD, 2008-2009, Males, Rest of NSW,776.8,24.6,23.4,25.9
 Western Sydney LHD, 2008-2009, Males, Total NSW,853.4,24.8,23.6,26
 Western Sydney LHD, 2008-2009, Females, Western Sydney LHD,70.4,17.9,15,21.1
 Western Sydney LHD, 2008-2009, Females, Rest of NSW,760.3,17.1,16.2,18
 Western Sydney LHD, 2008-2009, Females, Total NSW,830.8,17,16.1,17.8
 Western Sydney LHD, 2008-2009, Persons, Western Sydney LHD,147.1,21.2,18.8,23.8
 Western Sydney LHD, 2008-2009, Persons, Rest of NSW,1537.1,21.2,20.5,22
 Western Sydney LHD, 2008-2009, Persons, Total NSW,1684.2,21.2,20.5,21.9
 Western Sydney LHD, 2009-2010, Males, Western Sydney LHD,78,23.3,19.7,27.4
 Western Sydney LHD, 2009-2010, Males, Rest of NSW,798,24.6,23.4,25.9
 Western Sydney LHD, 2009-2010, Males, Total NSW,876,24.7,23.5,25.9
 Western Sydney LHD, 2009-2010, Females, Western Sydney LHD,68.5,16.8,14.1,19.9
 Western Sydney LHD, 2009-2010, Females, Rest of NSW,750.9,16.5,15.6,17.4
 Western Sydney LHD, 2009-2010, Females, Total NSW,819.4,16.3,15.5,17.2
 Western Sydney LHD, 2009-2010, Persons, Western Sydney LHD,146.6,20.4,18.1,22.9
 Western Sydney LHD, 2009-2010, Persons, Rest of NSW,1548.9,20.9,20.1,21.6
 Western Sydney LHD, 2009-2010, Persons, Total NSW,1695.4,20.8,20.1,21.5
 Western Sydney LHD, 2010-2011, Males, Western Sydney LHD,79.1,22.7,19.2,26.6
 Western Sydney LHD, 2010-2011, Males, Rest of NSW,804.9,24.2,23,25.4
 Western Sydney LHD, 2010-2011, Males, Total NSW,884,24.2,23,25.3
 Western Sydney LHD, 2010-2011, Females, Western Sydney LHD,67.5,16.1,13.4,19.1
 Western Sydney LHD, 2010-2011, Females, Rest of NSW,757,16.2,15.3,17
 Western Sydney LHD, 2010-2011, Females, Total NSW,824.6,16,15.2,16.8
 Western Sydney LHD, 2010-2011, Persons, Western Sydney LHD,146.7,19.7,17.5,22.2
 Western Sydney LHD, 2010-2011, Persons, Rest of NSW,1561.9,20.5,19.7,21.2
 Western Sydney LHD, 2010-2011, Persons, Total NSW,1708.6,20.4,19.7,21.1
 Western Sydney LHD, 2011-2012, Males, Western Sydney LHD,76.1,21.2,17.9,25
 Western Sydney LHD, 2011-2012, Males, Rest of NSW,814.5,23.9,22.8,25.1
 Western Sydney LHD, 2011-2012, Males, Total NSW,890.6,23.8,22.7,24.9
 Western Sydney LHD, 2011-2012, Females, Western Sydney LHD,68.1,15.7,13.2,18.7
 Western Sydney LHD, 2011-2012, Females, Rest of NSW,755.2,15.8,15,16.7
 Western Sydney LHD, 2011-2012, Females, Total NSW,823.3,15.6,14.8,16.4
 Western Sydney LHD, 2011-2012, Persons, Western Sydney LHD,144.1,18.8,16.7,21.1
 Western Sydney LHD, 2011-2012, Persons, Rest of NSW,1569.7,20.1,19.4,20.9
 Western Sydney LHD, 2011-2012, Persons, Total NSW,1713.9,20,19.3,20.6
 Western Sydney LHD, 2012-2013, Males, Western Sydney LHD,75.6,20.4,17.2,24
 Western Sydney LHD, 2012-2013, Males, Rest of NSW,831.3,23.9,22.8,25.1
 Western Sydney LHD, 2012-2013, Males, Total NSW,906.9,23.7,22.6,24.8
 Western Sydney LHD, 2012-2013, Females, Western Sydney LHD,69.3,15.6,13,18.4
 Western Sydney LHD, 2012-2013, Females, Rest of NSW,726.3,14.9,14.1,15.8
 Western Sydney LHD, 2012-2013, Females, Total NSW,795.5,14.8,14,15.5
 Western Sydney LHD, 2012-2013, Persons, Western Sydney LHD,144.9,18.3,16.2,20.6
 Western Sydney LHD, 2012-2013, Persons, Rest of NSW,1557.6,19.6,18.9,20.3
 Western Sydney LHD, 2012-2013, Persons, Total NSW,1702.4,19.4,18.7,20.1
 Western Sydney LHD, 2013-2014, Males, Western Sydney LHD,80.4,21.3,18.1,24.9
 Western Sydney LHD, 2013-2014, Males, Rest of NSW,866.3,24.4,23.2,25.6
 Western Sydney LHD, 2013-2014, Males, Total NSW,946.8,24.1,23,25.2
 Western Sydney LHD, 2013-2014, Females, Western Sydney LHD,68.5,15,12.6,17.8
 Western Sydney LHD, 2013-2014, Females, Rest of NSW,728.6,14.7,13.9,15.5
 Western Sydney LHD, 2013-2014, Females, Total NSW,797.1,14.4,13.7,15.2
 Western Sydney LHD, 2013-2014, Persons, Western Sydney LHD,148.9,18.4,16.4,20.7
 Western Sydney LHD, 2013-2014, Persons, Rest of NSW,1595,19.7,19,20.4
 Western Sydney LHD, 2013-2014, Persons, Total NSW,1743.9,19.4,18.8,20.1
 Western Sydney LHD, 2014-2015, Males, Western Sydney LHD,84.6,21.7,18.5,25.3
 Western Sydney LHD, 2014-2015, Males, Rest of NSW,895.5,24.7,23.5,25.9
 Western Sydney LHD, 2014-2015, Males, Total NSW,980,24.4,23.3,25.5
 Western Sydney LHD, 2014-2015, Females, Western Sydney LHD,67.3,14.3,12,17
 Western Sydney LHD, 2014-2015, Females, Rest of NSW,742.2,14.7,13.9,15.5
 Western Sydney LHD, 2014-2015, Females, Total NSW,809.5,14.3,13.6,15.1
 Western Sydney LHD, 2014-2015, Persons, Western Sydney LHD,151.8,18.3,16.3,20.5
 Western Sydney LHD, 2014-2015, Persons, Rest of NSW,1637.7,19.8,19.1,20.5
 Western Sydney LHD, 2014-2015, Persons, Total NSW,1789.5,19.5,18.9,20.2
 Western Sydney LHD, 2015-2016, Males, Western Sydney LHD,84.9,21.1,17.9,24.5
 Western Sydney LHD, 2015-2016, Males, Rest of NSW,909.9,24.5,23.4,25.7
 Western Sydney LHD, 2015-2016, Males, Total NSW,994.7,24.2,23.1,25.3
 Western Sydney LHD, 2015-2016, Females, Western Sydney LHD,65.9,13.8,11.5,16.5
 Western Sydney LHD, 2015-2016, Females, Rest of NSW,732.8,14.3,13.6,15.1
 Western Sydney LHD, 2015-2016, Females, Total NSW,798.7,14,13.2,14.7
 Western Sydney LHD, 2015-2016, Persons, Western Sydney LHD,150.7,17.6,15.6,19.7
 Western Sydney LHD, 2015-2016, Persons, Rest of NSW,1642.7,19.5,18.8,20.2
 Western Sydney LHD, 2015-2016, Persons, Total NSW,1793.4,19.1,18.5,19.8
 Nepean Blue Mountains LHD, 2001-2002, Males, Nepean Blue Mountains LHD,38.9,30.3,23.6,38.3
 Nepean Blue Mountains LHD, 2001-2002, Males, Rest of NSW,888.7,30.9,29.4,32.4
 Nepean Blue Mountains LHD, 2001-2002, Males, Total NSW,927.6,31,29.5,32.4
 Nepean Blue Mountains LHD, 2001-2002, Females, Nepean Blue Mountains LHD,34.3,23.3,18.1,29.6
 Nepean Blue Mountains LHD, 2001-2002, Females, Rest of NSW,853.8,21.7,20.7,22.8
 Nepean Blue Mountains LHD, 2001-2002, Females, Total NSW,888.1,21.6,20.6,22.7
 Nepean Blue Mountains LHD, 2001-2002, Persons, Nepean Blue Mountains LHD,73.2,27.5,23.2,32.4
 Nepean Blue Mountains LHD, 2001-2002, Persons, Rest of NSW,1742.5,26.8,25.9,27.7
 Nepean Blue Mountains LHD, 2001-2002, Persons, Total NSW,1815.7,26.8,26,27.7
 Nepean Blue Mountains LHD, 2002-2003, Males, Nepean Blue Mountains LHD,37.4,27.9,21.7,35.2
 Nepean Blue Mountains LHD, 2002-2003, Males, Rest of NSW,869.6,29.8,28.4,31.2
 Nepean Blue Mountains LHD, 2002-2003, Males, Total NSW,906.9,29.8,28.4,31.3
 Nepean Blue Mountains LHD, 2002-2003, Females, Nepean Blue Mountains LHD,34.4,22.5,17.5,28.5
 Nepean Blue Mountains LHD, 2002-2003, Females, Rest of NSW,874.8,21.7,20.7,22.8
 Nepean Blue Mountains LHD, 2002-2003, Females, Total NSW,909.2,21.6,20.6,22.6
 Nepean Blue Mountains LHD, 2002-2003, Persons, Nepean Blue Mountains LHD,71.8,25.8,21.7,30.4
 Nepean Blue Mountains LHD, 2002-2003, Persons, Rest of NSW,1744.4,26.3,25.5,27.2
 Nepean Blue Mountains LHD, 2002-2003, Persons, Total NSW,1816.2,26.3,25.5,27.2
 Nepean Blue Mountains LHD, 2003-2004, Males, Nepean Blue Mountains LHD,37,27.7,21.5,35
 Nepean Blue Mountains LHD, 2003-2004, Males, Rest of NSW,827.3,27.9,26.6,29.3
 Nepean Blue Mountains LHD, 2003-2004, Males, Total NSW,864.3,28.1,26.7,29.4
 Nepean Blue Mountains LHD, 2003-2004, Females, Nepean Blue Mountains LHD,34.4,22.2,17.2,28.1
 Nepean Blue Mountains LHD, 2003-2004, Females, Rest of NSW,860.2,20.9,19.9,21.9
 Nepean Blue Mountains LHD, 2003-2004, Females, Total NSW,894.6,20.8,19.8,21.8
 Nepean Blue Mountains LHD, 2003-2004, Persons, Nepean Blue Mountains LHD,71.4,25.4,21.4,30
 Nepean Blue Mountains LHD, 2003-2004, Persons, Rest of NSW,1687.5,25,24.2,25.9
 Nepean Blue Mountains LHD, 2003-2004, Persons, Total NSW,1758.9,25,24.2,25.8
 Nepean Blue Mountains LHD, 2004-2005, Males, Nepean Blue Mountains LHD,37,28.3,22,35.8
 Nepean Blue Mountains LHD, 2004-2005, Males, Rest of NSW,798.4,26.5,25.2,27.8
 Nepean Blue Mountains LHD, 2004-2005, Males, Total NSW,835.4,26.7,25.4,28
 Nepean Blue Mountains LHD, 2004-2005, Females, Nepean Blue Mountains LHD,35.6,22.4,17.4,28.2
 Nepean Blue Mountains LHD, 2004-2005, Females, Rest of NSW,824.5,19.6,18.6,20.6
 Nepean Blue Mountains LHD, 2004-2005, Females, Total NSW,860.1,19.5,18.6,20.5
 Nepean Blue Mountains LHD, 2004-2005, Persons, Nepean Blue Mountains LHD,72.6,25.8,21.7,30.4
 Nepean Blue Mountains LHD, 2004-2005, Persons, Rest of NSW,1622.9,23.5,22.7,24.4
 Nepean Blue Mountains LHD, 2004-2005, Persons, Total NSW,1695.5,23.6,22.8,24.4
 Nepean Blue Mountains LHD, 2005-2006, Males, Nepean Blue Mountains LHD,35.9,27.1,21,34.5
 Nepean Blue Mountains LHD, 2005-2006, Males, Rest of NSW,810.5,26.3,25,27.6
 Nepean Blue Mountains LHD, 2005-2006, Males, Total NSW,846.4,26.5,25.2,27.8
 Nepean Blue Mountains LHD, 2005-2006, Females, Nepean Blue Mountains LHD,34.3,20.8,16.1,26.4
 Nepean Blue Mountains LHD, 2005-2006, Females, Rest of NSW,806,18.8,17.8,19.7
 Nepean Blue Mountains LHD, 2005-2006, Females, Total NSW,840.4,18.6,17.7,19.6
 Nepean Blue Mountains LHD, 2005-2006, Persons, Nepean Blue Mountains LHD,70.3,24.5,20.6,28.9
 Nepean Blue Mountains LHD, 2005-2006, Persons, Rest of NSW,1616.5,23,22.2,23.8
 Nepean Blue Mountains LHD, 2005-2006, Persons, Total NSW,1686.8,23,22.2,23.8
 Nepean Blue Mountains LHD, 2006-2007, Males, Nepean Blue Mountains LHD,38.1,28.2,21.9,35.6
 Nepean Blue Mountains LHD, 2006-2007, Males, Rest of NSW,816.5,25.9,24.6,27.2
 Nepean Blue Mountains LHD, 2006-2007, Males, Total NSW,854.5,26.1,24.9,27.4
 Nepean Blue Mountains LHD, 2006-2007, Females, Nepean Blue Mountains LHD,33.6,19.7,15.2,25
 Nepean Blue Mountains LHD, 2006-2007, Females, Rest of NSW,806.4,18.3,17.4,19.3
 Nepean Blue Mountains LHD, 2006-2007, Females, Total NSW,840,18.2,17.3,19.1
 Nepean Blue Mountains LHD, 2006-2007, Persons, Nepean Blue Mountains LHD,71.7,24.3,20.4,28.7
 Nepean Blue Mountains LHD, 2006-2007, Persons, Rest of NSW,1622.8,22.5,21.7,23.3
 Nepean Blue Mountains LHD, 2006-2007, Persons, Total NSW,1694.5,22.5,21.8,23.3
 Nepean Blue Mountains LHD, 2007-2008, Males, Nepean Blue Mountains LHD,38.7,27.4,21.4,34.5
 Nepean Blue Mountains LHD, 2007-2008, Males, Rest of NSW,798.9,24.6,23.4,25.9
 Nepean Blue Mountains LHD, 2007-2008, Males, Total NSW,837.5,24.9,23.7,26.2
 Nepean Blue Mountains LHD, 2007-2008, Females, Nepean Blue Mountains LHD,36.3,20.6,16.1,26
 Nepean Blue Mountains LHD, 2007-2008, Females, Rest of NSW,804.4,17.7,16.8,18.6
 Nepean Blue Mountains LHD, 2007-2008, Females, Total NSW,840.7,17.6,16.7,18.5
 Nepean Blue Mountains LHD, 2007-2008, Persons, Nepean Blue Mountains LHD,75,24.5,20.7,28.8
 Nepean Blue Mountains LHD, 2007-2008, Persons, Rest of NSW,1603.2,21.5,20.8,22.3
 Nepean Blue Mountains LHD, 2007-2008, Persons, Total NSW,1678.2,21.7,20.9,22.4
 Nepean Blue Mountains LHD, 2008-2009, Males, Nepean Blue Mountains LHD,36.2,24.8,19.2,31.5
 Nepean Blue Mountains LHD, 2008-2009, Males, Rest of NSW,817.2,24.5,23.3,25.7
 Nepean Blue Mountains LHD, 2008-2009, Males, Total NSW,853.4,24.8,23.6,26
 Nepean Blue Mountains LHD, 2008-2009, Females, Nepean Blue Mountains LHD,36.2,19.9,15.5,25.2
 Nepean Blue Mountains LHD, 2008-2009, Females, Rest of NSW,794.5,17,16.2,17.9
 Nepean Blue Mountains LHD, 2008-2009, Females, Total NSW,830.8,17,16.1,17.8
 Nepean Blue Mountains LHD, 2008-2009, Persons, Nepean Blue Mountains LHD,72.4,23.1,19.4,27.2
 Nepean Blue Mountains LHD, 2008-2009, Persons, Rest of NSW,1611.8,21.1,20.4,21.9
 Nepean Blue Mountains LHD, 2008-2009, Persons, Total NSW,1684.2,21.2,20.5,21.9
 Nepean Blue Mountains LHD, 2009-2010, Males, Nepean Blue Mountains LHD,37.1,25,19.4,31.5
 Nepean Blue Mountains LHD, 2009-2010, Males, Rest of NSW,838.9,24.4,23.3,25.6
 Nepean Blue Mountains LHD, 2009-2010, Males, Total NSW,876,24.7,23.5,25.9
 Nepean Blue Mountains LHD, 2009-2010, Females, Nepean Blue Mountains LHD,33.8,18.1,14,23
 Nepean Blue Mountains LHD, 2009-2010, Females, Rest of NSW,785.6,16.4,15.6,17.3
 Nepean Blue Mountains LHD, 2009-2010, Females, Total NSW,819.4,16.3,15.5,17.2
 Nepean Blue Mountains LHD, 2009-2010, Persons, Nepean Blue Mountains LHD,70.9,22,18.5,26
 Nepean Blue Mountains LHD, 2009-2010, Persons, Rest of NSW,1624.5,20.8,20,21.5
 Nepean Blue Mountains LHD, 2009-2010, Persons, Total NSW,1695.4,20.8,20.1,21.5
 Nepean Blue Mountains LHD, 2010-2011, Males, Nepean Blue Mountains LHD,38.8,25,19.6,31.5
 Nepean Blue Mountains LHD, 2010-2011, Males, Rest of NSW,845.2,23.9,22.8,25.1
 Nepean Blue Mountains LHD, 2010-2011, Males, Total NSW,884,24.2,23,25.3
 Nepean Blue Mountains LHD, 2010-2011, Females, Nepean Blue Mountains LHD,33.9,17.4,13.4,22.1
 Nepean Blue Mountains LHD, 2010-2011, Females, Rest of NSW,790.6,16.1,15.3,16.9
 Nepean Blue Mountains LHD, 2010-2011, Females, Total NSW,824.6,16,15.2,16.8
 Nepean Blue Mountains LHD, 2010-2011, Persons, Nepean Blue Mountains LHD,72.8,21.7,18.3,25.6
 Nepean Blue Mountains LHD, 2010-2011, Persons, Rest of NSW,1635.8,20.3,19.6,21
 Nepean Blue Mountains LHD, 2010-2011, Persons, Total NSW,1708.6,20.4,19.7,21.1
 Nepean Blue Mountains LHD, 2011-2012, Males, Nepean Blue Mountains LHD,40.1,25.2,19.8,31.5
 Nepean Blue Mountains LHD, 2011-2012, Males, Rest of NSW,850.4,23.6,22.4,24.7
 Nepean Blue Mountains LHD, 2011-2012, Males, Total NSW,890.6,23.8,22.7,24.9
 Nepean Blue Mountains LHD, 2011-2012, Females, Nepean Blue Mountains LHD,35.9,17.9,13.9,22.6
 Nepean Blue Mountains LHD, 2011-2012, Females, Rest of NSW,787.4,15.7,14.9,16.5
 Nepean Blue Mountains LHD, 2011-2012, Females, Total NSW,823.3,15.6,14.8,16.4
 Nepean Blue Mountains LHD, 2011-2012, Persons, Nepean Blue Mountains LHD,76,22.1,18.7,25.9
 Nepean Blue Mountains LHD, 2011-2012, Persons, Rest of NSW,1637.8,19.9,19.2,20.6
 Nepean Blue Mountains LHD, 2011-2012, Persons, Total NSW,1713.9,20,19.3,20.6
 Nepean Blue Mountains LHD, 2012-2013, Males, Nepean Blue Mountains LHD,40.8,25.1,19.8,31.3
 Nepean Blue Mountains LHD, 2012-2013, Males, Rest of NSW,866.1,23.4,22.4,24.6
 Nepean Blue Mountains LHD, 2012-2013, Males, Total NSW,906.9,23.7,22.6,24.8
 Nepean Blue Mountains LHD, 2012-2013, Females, Nepean Blue Mountains LHD,34.9,17,13.2,21.6
 Nepean Blue Mountains LHD, 2012-2013, Females, Rest of NSW,760.7,14.9,14.1,15.7
 Nepean Blue Mountains LHD, 2012-2013, Females, Total NSW,795.5,14.8,14,15.5
 Nepean Blue Mountains LHD, 2012-2013, Persons, Nepean Blue Mountains LHD,75.7,21.5,18.2,25.2
 Nepean Blue Mountains LHD, 2012-2013, Persons, Rest of NSW,1626.8,19.4,18.7,20
 Nepean Blue Mountains LHD, 2012-2013, Persons, Total NSW,1702.4,19.4,18.7,20.1
 Nepean Blue Mountains LHD, 2013-2014, Males, Nepean Blue Mountains LHD,42.3,25.4,20.1,31.5
 Nepean Blue Mountains LHD, 2013-2014, Males, Rest of NSW,904.5,23.9,22.8,25
 Nepean Blue Mountains LHD, 2013-2014, Males, Total NSW,946.8,24.1,23,25.2
 Nepean Blue Mountains LHD, 2013-2014, Females, Nepean Blue Mountains LHD,33.9,16.2,12.5,20.7
 Nepean Blue Mountains LHD, 2013-2014, Females, Rest of NSW,763.2,14.6,13.9,15.4
 Nepean Blue Mountains LHD, 2013-2014, Females, Total NSW,797.1,14.4,13.7,15.2
 Nepean Blue Mountains LHD, 2013-2014, Persons, Nepean Blue Mountains LHD,76.2,21.1,17.9,24.8
 Nepean Blue Mountains LHD, 2013-2014, Persons, Rest of NSW,1667.7,19.4,18.8,20.1
 Nepean Blue Mountains LHD, 2013-2014, Persons, Total NSW,1743.9,19.4,18.8,20.1
 Nepean Blue Mountains LHD, 2014-2015, Males, Nepean Blue Mountains LHD,43.8,25.4,20.3,31.4
 Nepean Blue Mountains LHD, 2014-2015, Males, Rest of NSW,936.3,24.2,23.1,25.4
 Nepean Blue Mountains LHD, 2014-2015, Males, Total NSW,980,24.4,23.3,25.5
 Nepean Blue Mountains LHD, 2014-2015, Females, Nepean Blue Mountains LHD,36.9,17.3,13.5,21.9
 Nepean Blue Mountains LHD, 2014-2015, Females, Rest of NSW,772.5,14.5,13.8,15.3
 Nepean Blue Mountains LHD, 2014-2015, Females, Total NSW,809.5,14.3,13.6,15.1
 Nepean Blue Mountains LHD, 2014-2015, Persons, Nepean Blue Mountains LHD,80.7,21.8,18.5,25.4
 Nepean Blue Mountains LHD, 2014-2015, Persons, Rest of NSW,1708.8,19.5,18.9,20.2
 Nepean Blue Mountains LHD, 2014-2015, Persons, Total NSW,1789.5,19.5,18.9,20.2
 Nepean Blue Mountains LHD, 2015-2016, Males, Nepean Blue Mountains LHD,47.3,26.5,21.3,32.6
 Nepean Blue Mountains LHD, 2015-2016, Males, Rest of NSW,947.4,24,22.9,25.1
 Nepean Blue Mountains LHD, 2015-2016, Males, Total NSW,994.7,24.2,23.1,25.3
 Nepean Blue Mountains LHD, 2015-2016, Females, Nepean Blue Mountains LHD,35.7,16.3,12.7,20.6
 Nepean Blue Mountains LHD, 2015-2016, Females, Rest of NSW,763,14.2,13.5,15
 Nepean Blue Mountains LHD, 2015-2016, Females, Total NSW,798.7,14,13.2,14.7
 Nepean Blue Mountains LHD, 2015-2016, Persons, Nepean Blue Mountains LHD,83,21.6,18.4,25.2
 Nepean Blue Mountains LHD, 2015-2016, Persons, Rest of NSW,1710.4,19.2,18.5,19.8
 Nepean Blue Mountains LHD, 2015-2016, Persons, Total NSW,1793.4,19.1,18.5,19.8
 Northern Sydney LHD, 2001-2002, Males, Northern Sydney LHD,90.8,24.8,21.3,28.7
 Northern Sydney LHD, 2001-2002, Males, Rest of NSW,836.8,31.6,30.1,33.2
 Northern Sydney LHD, 2001-2002, Males, Total NSW,927.6,31,29.5,32.4
 Northern Sydney LHD, 2001-2002, Females, Northern Sydney LHD,121.2,19.2,16.7,21.9
 Northern Sydney LHD, 2001-2002, Females, Rest of NSW,766.9,22.1,21,23.3
 Northern Sydney LHD, 2001-2002, Females, Total NSW,888.1,21.6,20.6,22.7
 Northern Sydney LHD, 2001-2002, Persons, Northern Sydney LHD,212,22.5,20.4,24.7
 Northern Sydney LHD, 2001-2002, Persons, Rest of NSW,1603.7,27.4,26.5,28.4
 Northern Sydney LHD, 2001-2002, Persons, Total NSW,1815.7,26.8,26,27.7
 Northern Sydney LHD, 2002-2003, Males, Northern Sydney LHD,83.6,22.5,19.2,26.2
 Northern Sydney LHD, 2002-2003, Males, Rest of NSW,823.4,30.6,29.2,32.2
 Northern Sydney LHD, 2002-2003, Males, Total NSW,906.9,29.8,28.4,31.3
 Northern Sydney LHD, 2002-2003, Females, Northern Sydney LHD,128,19.7,17.2,22.4
 Northern Sydney LHD, 2002-2003, Females, Rest of NSW,781.2,22,20.9,23.2
 Northern Sydney LHD, 2002-2003, Females, Total NSW,909.2,21.6,20.6,22.6
 Northern Sydney LHD, 2002-2003, Persons, Northern Sydney LHD,211.6,21.8,19.7,24
 Northern Sydney LHD, 2002-2003, Persons, Rest of NSW,1604.6,26.9,26,27.8
 Northern Sydney LHD, 2002-2003, Persons, Total NSW,1816.2,26.3,25.5,27.2
 Northern Sydney LHD, 2003-2004, Males, Northern Sydney LHD,76.7,20.2,17.1,23.6
 Northern Sydney LHD, 2003-2004, Males, Rest of NSW,787.7,28.9,27.5,30.4
 Northern Sydney LHD, 2003-2004, Males, Total NSW,864.3,28.1,26.7,29.4
 Northern Sydney LHD, 2003-2004, Females, Northern Sydney LHD,126.2,19.2,16.8,21.9
 Northern Sydney LHD, 2003-2004, Females, Rest of NSW,768.4,21.2,20.1,22.3
 Northern Sydney LHD, 2003-2004, Females, Total NSW,894.6,20.8,19.8,21.8
 Northern Sydney LHD, 2003-2004, Persons, Northern Sydney LHD,202.9,20.4,18.4,22.5
 Northern Sydney LHD, 2003-2004, Persons, Rest of NSW,1556,25.6,24.7,26.5
 Northern Sydney LHD, 2003-2004, Persons, Total NSW,1758.9,25,24.2,25.8
 Northern Sydney LHD, 2004-2005, Males, Northern Sydney LHD,75.9,19.6,16.6,23
 Northern Sydney LHD, 2004-2005, Males, Rest of NSW,759.5,27.5,26.1,28.9
 Northern Sydney LHD, 2004-2005, Males, Total NSW,835.4,26.7,25.4,28
 Northern Sydney LHD, 2004-2005, Females, Northern Sydney LHD,117.6,17.5,15.2,20.1
 Northern Sydney LHD, 2004-2005, Females, Rest of NSW,742.5,20,19,21
 Northern Sydney LHD, 2004-2005, Females, Total NSW,860.1,19.5,18.6,20.5
 Northern Sydney LHD, 2004-2005, Persons, Northern Sydney LHD,193.5,19.2,17.3,21.3
 Northern Sydney LHD, 2004-2005, Persons, Rest of NSW,1502,24.2,23.4,25.1
 Northern Sydney LHD, 2004-2005, Persons, Total NSW,1695.5,23.6,22.8,24.4
 Northern Sydney LHD, 2005-2006, Males, Northern Sydney LHD,74.9,19.1,16.1,22.4
 Northern Sydney LHD, 2005-2006, Males, Rest of NSW,771.5,27.3,25.9,28.7
 Northern Sydney LHD, 2005-2006, Males, Total NSW,846.4,26.5,25.2,27.8
 Northern Sydney LHD, 2005-2006, Females, Northern Sydney LHD,117.2,17.3,15,19.8
 Northern Sydney LHD, 2005-2006, Females, Rest of NSW,723.2,19,18,20
 Northern Sydney LHD, 2005-2006, Females, Total NSW,840.4,18.6,17.7,19.6
 Northern Sydney LHD, 2005-2006, Persons, Northern Sydney LHD,192.1,18.8,16.9,20.8
 Northern Sydney LHD, 2005-2006, Persons, Rest of NSW,1494.7,23.6,22.7,24.4
 Northern Sydney LHD, 2005-2006, Persons, Total NSW,1686.8,23,22.2,23.8
 Northern Sydney LHD, 2006-2007, Males, Northern Sydney LHD,72.9,18.3,15.4,21.5
 Northern Sydney LHD, 2006-2007, Males, Rest of NSW,781.7,27,25.6,28.4
 Northern Sydney LHD, 2006-2007, Males, Total NSW,854.5,26.1,24.9,27.4
 Northern Sydney LHD, 2006-2007, Females, Northern Sydney LHD,115.8,17.1,14.8,19.5
 Northern Sydney LHD, 2006-2007, Females, Rest of NSW,724.2,18.5,17.6,19.5
 Northern Sydney LHD, 2006-2007, Females, Total NSW,840,18.2,17.3,19.1
 Northern Sydney LHD, 2006-2007, Persons, Northern Sydney LHD,188.6,18.2,16.4,20.2
 Northern Sydney LHD, 2006-2007, Persons, Rest of NSW,1505.9,23.1,22.3,24
 Northern Sydney LHD, 2006-2007, Persons, Total NSW,1694.5,22.5,21.8,23.3
 Northern Sydney LHD, 2007-2008, Males, Northern Sydney LHD,74.5,18.2,15.4,21.3
 Northern Sydney LHD, 2007-2008, Males, Rest of NSW,763,25.6,24.3,26.9
 Northern Sydney LHD, 2007-2008, Males, Total NSW,837.5,24.9,23.7,26.2
 Northern Sydney LHD, 2007-2008, Females, Northern Sydney LHD,114,16.5,14.3,18.9
 Northern Sydney LHD, 2007-2008, Females, Rest of NSW,726.7,18,17,18.9
 Northern Sydney LHD, 2007-2008, Females, Total NSW,840.7,17.6,16.7,18.5
 Northern Sydney LHD, 2007-2008, Persons, Northern Sydney LHD,188.5,17.8,16,19.8
 Northern Sydney LHD, 2007-2008, Persons, Rest of NSW,1489.8,22.2,21.4,23
 Northern Sydney LHD, 2007-2008, Persons, Total NSW,1678.2,21.7,20.9,22.4
 Northern Sydney LHD, 2008-2009, Males, Northern Sydney LHD,74,17.5,14.8,20.6
 Northern Sydney LHD, 2008-2009, Males, Rest of NSW,779.4,25.5,24.2,26.8
 Northern Sydney LHD, 2008-2009, Males, Total NSW,853.4,24.8,23.6,26
 Northern Sydney LHD, 2008-2009, Females, Northern Sydney LHD,112.5,16,13.8,18.3
 Northern Sydney LHD, 2008-2009, Females, Rest of NSW,718.2,17.3,16.4,18.2
